ACTIVITY,Name,Alphabet
10101,Sleep,a
10102,Sleep,a
10199,Sleep,a
10201,Personal Care,b
10299,Personal Care,b
10301,Personal Care,b
10399,Personal Care,b
10401,Personal Care,b
10499,Personal Care,b
10501,Personal Care,b
10599,Personal Care,b
19999,Personal Care,b
20101,Housework,c
20102,Housework,c
20103,Housework,c
20104,Housework,c
20199,Housework,c
20201,Housework,c
20202,Housework,c
20203,Housework,c
20299,Housework,c
20301,Housework,c
20302,Housework,c
20303,Housework,c
20399,Housework,c
20401,Housework,c
20402,Housework,c
20499,Housework,c
20501,Housework,c
20502,Housework,c
20599,Housework,c
20681,Housework,c
20601,Housework,c
20602,Housework,c
20603,Housework,c
20699,Housework,c
20701,Housework,c
20799,Housework,c
20801,Housework,c
20899,Housework,c
20901,Housework,c
20902,Housework,c
20903,Housework,c
20904,Housework,c
20905,Housework,c
20999,Housework,c
29999,Housework,c
30101,Childcare,d
30102,Childcare,d
30103,Childcare,d
30104,Childcare,d
30105,Childcare,d
30186,Childcare,d
30106,Childcare,d
30107,Childcare,d
30108,Childcare,d
30109,Childcare,d
30110,Childcare,d
30111,Childcare,d
30112,Childcare,d
30199,Childcare,d
30201,Childcare,d
30202,Childcare,d
30203,Childcare,d
30204,Childcare,d
30299,Childcare,d
30301,Childcare,d
30302,Childcare,d
30303,Childcare,d
30399,Childcare,d
30401,Adult care,e
30402,Adult care,e
30403,Adult care,e
30404,Adult care,e
30405,Adult care,e
30499,Adult care,e
30501,Adult care,e
30502,Adult care,e
30503,Adult care,e
30504,Adult care,e
30599,Adult care,e
39999,Adult care,e
40101,Childcare,d
40102,Childcare,d
40103,Childcare,d
40104,Childcare,d
40105,Childcare,d
40186,Childcare,d
40106,Childcare,d
40107,Childcare,d
40108,Childcare,d
40109,Childcare,d
40110,Childcare,d
40111,Childcare,d
40112,Childcare,d
40199,Childcare,d
40201,Childcare,d
40202,Childcare,d
40203,Childcare,d
40204,Childcare,d
40299,Childcare,d
40301,Childcare,d
40302,Childcare,d
40303,Childcare,d
40399,Childcare,d
40401,Adult care,e
40402,Adult care,e
40403,Adult care,e
40404,Adult care,e
40405,Adult care,e
40499,Adult care,e
40501,Adult care,e
40502,Adult care,e
40503,Adult care,e
40504,Adult care,e
40505,Adult care,e
40506,Adult care,e
40507,Adult care,e
40508,Adult care,e
40599,Adult care,e
49999,Adult care,e
50101,Working and Education,f
50102,Working and Education,f
50103,Working and Education,f
50189,Working and Education,f
50104,Working and Education,f
50199,Working and Education,f
50201,Working and Education,f
50202,Working and Education,f
50203,Working and Education,f
50204,Working and Education,f
50289,Working and Education,f
50205,Working and Education,f
50299,Working and Education,f
50301,Working and Education,f
50302,Working and Education,f
50303,Working and Education,f
50304,Working and Education,f
50389,Working and Education,f
50305,Working and Education,f
50399,Working and Education,f
50481,Working and Education,f
50401,Working and Education,f
50402,Working and Education,f
50403,Working and Education,f
50404,Working and Education,f
50405,Working and Education,f
50499,Working and Education,f
59999,Working and Education,f
60101,Working and Education,f
60102,Working and Education,f
60103,Working and Education,f
